Employee Code,AttendanceDate,InTime, OutTime
1,5/31/2017,09:39,18:16
2,5/31/2017,00:00,00:00
3,5/31/2017,11:33,11:33
4,5/31/2017,18:56,03:47
5,5/31/2017,09:39,18:55
6,5/31/2017,09:41,17:11
8,5/31/2017,09:39,18:54
13,5/31/2017,19:06,19:06
14,5/31/2017,00:00,00:00
15,5/31/2017,09:59,18:23
18,5/31/2017,09:46,17:32
21,5/31/2017,09:34,17:49
22,5/31/2017,00:00,00:00
24,5/31/2017,09:43,17:43
26,5/31/2017,09:30,11:32
29,5/31/2017,00:00,00:00
30,5/31/2017,00:00,00:00
31,5/31/2017,00:00,00:00
32,5/31/2017,00:00,00:00
36,5/31/2017,00:00,00:00
37,5/31/2017,09:34,09:34
38,5/31/2017,00:00,00:00
39,5/31/2017,09:30,09:30
40,5/31/2017,02:47,11:30
42,5/31/2017,00:00,00:00
43,5/31/2017,09:24,09:24
44,5/31/2017,10:28,18:16
45,5/31/2017,09:17,09:17
46,5/31/2017,09:32,09:32
47,5/31/2017,10:21,21:12
48,5/31/2017,09:28,17:56
49,5/31/2017,00:00,00:00
50,5/31/2017,00:00,00:00
51,5/31/2017,09:48,18:05
52,5/31/2017,18:53,03:46
T1,5/31/2017,00:00,00:00
T2,5/31/2017,00:00,00:00
T3,5/31/2017,00:00,00:00
1,5/30/2017,09:22,18:16
2,5/30/2017,09:42,18:33
3,5/30/2017,11:37,03:30
4,5/30/2017,00:00,00:00
5,5/30/2017,09:28,19:24
6,5/30/2017,09:32,15:01
8,5/30/2017,09:17,19:24
13,5/30/2017,00:00,00:00
14,5/30/2017,13:03,22:15
15,5/30/2017,09:53,18:08
18,5/30/2017,09:40,17:40
21,5/30/2017,09:28,18:33
22,5/30/2017,09:57,18:08
24,5/30/2017,09:43,17:45
26,5/30/2017,09:32,09:32
29,5/30/2017,11:41,03:03
30,5/30/2017,00:00,00:00
31,5/30/2017,00:00,00:00
32,5/30/2017,00:00,00:00
36,5/30/2017,00:00,00:00
37,5/30/2017,09:32,09:32
38,5/30/2017,00:00,00:00
39,5/30/2017,09:32,09:32
40,5/30/2017,02:45,11:37
42,5/30/2017,00:00,00:00
43,5/30/2017,09:30,09:30
44,5/30/2017,10:29,18:12
45,5/30/2017,09:17,09:17
46,5/30/2017,00:00,00:00
47,5/30/2017,09:50,20:52
48,5/30/2017,09:27,19:18
49,5/30/2017,09:29,09:29
50,5/30/2017,00:00,00:00
51,5/30/2017,00:00,00:00
52,5/30/2017,18:59,03:32
T1,5/30/2017,00:00,00:00
T2,5/30/2017,00:00,00:00
T3,5/30/2017,00:00,00:00
1,5/29/2017,18:37,18:37
2,5/29/2017,09:46,13:16
3,5/29/2017,18:40,03:30
4,5/29/2017,19:05,03:30
5,5/29/2017,10:07,18:31
6,5/29/2017,09:32,16:21
8,5/29/2017,16:20,18:30
13,5/29/2017,00:00,00:00
14,5/29/2017,12:59,21:32
15,5/29/2017,10:44,18:01
18,5/29/2017,09:47,18:00
21,5/29/2017,09:26,18:27
22,5/29/2017,09:53,18:12
24,5/29/2017,09:32,18:00
26,5/29/2017,09:20,09:20
29,5/29/2017,11:42,03:03
30,5/29/2017,00:00,00:00
31,5/29/2017,00:00,00:00
32,5/29/2017,00:00,00:00
36,5/29/2017,00:00,00:00
37,5/29/2017,09:20,09:20
38,5/29/2017,00:00,00:00
39,5/29/2017,09:21,09:21
40,5/29/2017,02:40,11:30
42,5/29/2017,00:00,00:00
43,5/29/2017,09:35,18:31
44,5/29/2017,10:33,18:31
45,5/29/2017,09:17,09:17
46,5/29/2017,10:16,10:16
47,5/29/2017,09:26,19:29
48,5/29/2017,09:14,18:28
49,5/29/2017,09:27,18:27
50,5/29/2017,00:00,00:00
51,5/29/2017,09:26,17:52
52,5/29/2017,00:00,00:00
T1,5/29/2017,00:00,00:00
T2,5/29/2017,00:00,00:00
T3,5/29/2017,00:00,00:00
1,5/28/2017,00:00,00:00
2,5/28/2017,00:00,00:00
3,5/28/2017,18:23,03:30
4,5/28/2017,11:27,19:32
5,5/28/2017,09:47,18:51
6,5/28/2017,00:00,00:00
8,5/28/2017,00:00,00:00
13,5/28/2017,00:00,00:00
14,5/28/2017,13:05,21:35
15,5/28/2017,00:00,00:00
18,5/28/2017,00:00,00:00
21,5/28/2017,09:36,19:43
22,5/28/2017,00:00,00:00
24,5/28/2017,00:00,00:00
26,5/28/2017,00:00,00:00
29,5/28/2017,02:54,02:59
30,5/28/2017,00:00,00:00
31,5/28/2017,00:00,00:00
32,5/28/2017,00:00,00:00
36,5/28/2017,11:41,04:43
37,5/28/2017,00:00,00:00
38,5/28/2017,00:00,00:00
39,5/28/2017,00:00,00:00
40,5/28/2017,03:33,03:33
42,5/28/2017,00:00,00:00
43,5/28/2017,00:00,00:00
44,5/28/2017,00:00,00:00
45,5/28/2017,00:00,00:00
46,5/28/2017,00:00,00:00
47,5/28/2017,00:00,00:00
48,5/28/2017,00:00,00:00
49,5/28/2017,00:00,00:00
50,5/28/2017,00:00,00:00
51,5/28/2017,00:00,00:00
52,5/28/2017,00:00,00:00
T1,5/28/2017,00:00,00:00
T2,5/28/2017,00:00,00:00
T3,5/28/2017,00:00,00:00
1,5/27/2017,09:55,18:29
2,5/27/2017,09:53,18:29
3,5/27/2017,11:34,11:34
4,5/27/2017,11:04,19:33
5,5/27/2017,00:00,00:00
6,5/27/2017,09:44,17:13
8,5/27/2017,00:00,00:00
13,5/27/2017,00:00,00:00
14,5/27/2017,12:58,12:58
15,5/27/2017,00:00,00:00
18,5/27/2017,09:54,17:31
21,5/27/2017,00:00,00:00
22,5/27/2017,09:49,18:15
24,5/27/2017,00:00,00:00
26,5/27/2017,00:00,00:00
29,5/27/2017,00:00,00:00
30,5/27/2017,00:00,00:00
31,5/27/2017,00:00,00:00
32,5/27/2017,00:00,00:00
36,5/27/2017,03:02,02:57
37,5/27/2017,09:26,17:33
38,5/27/2017,00:00,00:00
39,5/27/2017,15:56,17:38
40,5/27/2017,03:30,18:50
42,5/27/2017,00:00,00:00
43,5/27/2017,00:00,00:00
44,5/27/2017,11:22,11:22
45,5/27/2017,09:15,09:15
46,5/27/2017,09:44,09:44
47,5/27/2017,09:49,14:17
48,5/27/2017,10:21,17:55
49,5/27/2017,09:26,18:01
50,5/27/2017,00:00,00:00
51,5/27/2017,12:14,18:05
52,5/27/2017,18:57,03:33
T1,5/27/2017,00:00,00:00
T2,5/27/2017,00:00,00:00
T3,5/27/2017,00:00,00:00
1,5/26/2017,09:51,18:37
2,5/26/2017,09:57,09:57
3,5/26/2017,03:04,11:34
4,5/26/2017,03:05,11:50
5,5/26/2017,09:31,17:41
6,5/26/2017,09:54,17:42
8,5/26/2017,09:31,09:31
13,5/26/2017,00:00,00:00
14,5/26/2017,12:57,21:47
15,5/26/2017,10:29,18:25
18,5/26/2017,09:50,17:36
21,5/26/2017,09:38,20:04
22,5/26/2017,09:58,18:24
24,5/26/2017,09:49,17:36
26,5/26/2017,09:24,09:24
29,5/26/2017,00:00,00:00
30,5/26/2017,00:00,00:00
31,5/26/2017,00:00,00:00
32,5/26/2017,00:00,00:00
36,5/26/2017,00:00,00:00
37,5/26/2017,09:25,17:42
38,5/26/2017,00:00,00:00
39,5/26/2017,09:25,09:25
40,5/26/2017,03:32,18:35
42,5/26/2017,00:00,00:00
43,5/26/2017,00:00,00:00
44,5/26/2017,10:24,17:51
45,5/26/2017,09:19,09:19
46,5/26/2017,09:58,09:58
47,5/26/2017,09:59,21:47
48,5/26/2017,09:18,18:25
49,5/26/2017,09:26,09:26
50,5/26/2017,00:00,00:00
51,5/26/2017,00:00,00:00
52,5/26/2017,19:02,03:30
T1,5/26/2017,00:00,00:00
T2,5/26/2017,00:00,00:00
T3,5/26/2017,00:00,00:00
1,5/25/2017,09:56,18:12
2,5/25/2017,09:40,09:40
3,5/25/2017,00:00,00:00
4,5/25/2017,00:00,00:00
5,5/25/2017,09:27,19:13
6,5/25/2017,09:40,17:11
8,5/25/2017,09:27,19:13
13,5/25/2017,00:00,00:00
14,5/25/2017,12:59,21:35
15,5/25/2017,09:50,18:13
18,5/25/2017,09:45,17:35
21,5/25/2017,09:26,18:55
22,5/25/2017,09:47,18:12
24,5/25/2017,09:45,18:03
26,5/25/2017,09:20,09:20
29,5/25/2017,12:00,12:00
30,5/25/2017,00:00,00:00
31,5/25/2017,00:00,00:00
32,5/25/2017,00:00,00:00
36,5/25/2017,02:54,11:48
