Emp_id,Date,Time
1,04-Jul-15,17:31
1,04-Jul-15,17:32
11,04-Jul-15,17:37
1,04-Jul-15,18:15
2,04-Jul-15,18:16
3,04-Jul-15,18:17
6,05-Jul-15,09:30
3,05-Jul-15,09:38
8,05-Jul-15,09:48
8,05-Jul-15,09:48
16,05-Jul-15,11:35
3,05-Jul-15,18:13
16,06-Jul-15,03:03
3,06-Jul-15,08:07
6,06-Jul-15,09:34
14,06-Jul-15,09:49
8,06-Jul-15,09:54
5,06-Jul-15,09:55
9,06-Jul-15,10:01
2,06-Jul-15,10:01
1,06-Jul-15,10:14
12,06-Jul-15,10:28
11,06-Jul-15,10:47
16,06-Jul-15,11:32
6,06-Jul-15,13:16
19,06-Jul-15,15:41
1,06-Jul-15,15:41
16,06-Jul-15,17:50
12,06-Jul-15,17:52
5,06-Jul-15,17:52
9,06-Jul-15,17:54
1,06-Jul-15,18:15
13,06-Jul-15,19:49
13,06-Jul-15,19:52
13,06-Jul-15,20:29
19,07-Jul-15,00:17
16,07-Jul-15,03:02
16,07-Jul-15,03:02
4,07-Jul-15,03:06
6,07-Jul-15,09:31
8,07-Jul-15,09:37
14,07-Jul-15,09:46
9,07-Jul-15,09:49
5,07-Jul-15,09:57
12,07-Jul-15,10:00
1,07-Jul-15,10:02
4,07-Jul-15,11:45
19,07-Jul-15,15:49
2,07-Jul-15,16:03
6,07-Jul-15,17:19
2,07-Jul-15,18:22
9,07-Jul-15,18:22
5,07-Jul-15,18:23
1,07-Jul-15,19:19
19,08-Jul-15,00:36
16,08-Jul-15,03:01
4,08-Jul-15,03:28
4,08-Jul-15,03:28
6,08-Jul-15,09:38
9,08-Jul-15,09:46
1,08-Jul-15,09:50
5,08-Jul-15,09:58
8,08-Jul-15,09:59
12,08-Jul-15,10:03
14,08-Jul-15,10:40
4,08-Jul-15,12:13
19,08-Jul-15,15:50
6,08-Jul-15,17:09
9,08-Jul-15,17:50
3,08-Jul-15,17:52
5,08-Jul-15,17:53
5,08-Jul-15,17:53
19,09-Jul-15,01:18
4,09-Jul-15,04:01
3,09-Jul-15,09:20
3,09-Jul-15,09:20
6,09-Jul-15,09:32
16,09-Jul-15,09:44
14,09-Jul-15,09:45
1,09-Jul-15,09:59
9,09-Jul-15,10:01
2,09-Jul-15,10:01
12,09-Jul-15,10:48
12,09-Jul-15,11:03
4,09-Jul-15,11:35
13,09-Jul-15,11:53
11,09-Jul-15,12:26
8,09-Jul-15,13:24
19,09-Jul-15,15:38
16,09-Jul-15,16:59
16,09-Jul-15,16:59
6,09-Jul-15,17:26
3,09-Jul-15,17:31
3,09-Jul-15,17:31
9,09-Jul-15,17:57
2,09-Jul-15,17:57
1,09-Jul-15,21:22
19,10-Jul-15,01:48
14,10-Jul-15,09:00
3,10-Jul-15,09:16
6,10-Jul-15,09:30
1,10-Jul-15,09:50
2,10-Jul-15,10:00
9,10-Jul-15,10:00
8,10-Jul-15,10:06
5,10-Jul-15,10:08
11,10-Jul-15,10:25
12,10-Jul-15,11:32
4,10-Jul-15,11:52
19,10-Jul-15,15:45
6,10-Jul-15,17:52
6,10-Jul-15,17:52
8,10-Jul-15,18:08
9,10-Jul-15,18:11
2,10-Jul-15,18:11
3,10-Jul-15,18:19
1,10-Jul-15,19:08
19,11-Jul-15,01:04
19,11-Jul-15,01:04
6,11-Jul-15,09:35
2,11-Jul-15,09:38
14,11-Jul-15,09:41
12,11-Jul-15,09:56
3,11-Jul-15,10:03
3,11-Jul-15,10:03
11,11-Jul-15,10:04
1,11-Jul-15,10:20
4,11-Jul-15,11:51
6,11-Jul-15,17:38
17,11-Jul-15,17:38
3,11-Jul-15,18:04
1,11-Jul-15,18:57
16,12-Jul-15,03:00
8,12-Jul-15,09:50
5,12-Jul-15,10:00
3,12-Jul-15,10:08
16,12-Jul-15,11:40
16,12-Jul-15,11:40
3,12-Jul-15,18:23
8,12-Jul-15,18:59
5,12-Jul-15,19:02
5,12-Jul-15,19:02
14,13-Jul-15,09:29
6,13-Jul-15,09:33
3,13-Jul-15,09:44
3,13-Jul-15,09:44
8,13-Jul-15,09:55
5,13-Jul-15,09:59
9,13-Jul-15,10:01
2,13-Jul-15,10:01
12,13-Jul-15,10:15
11,13-Jul-15,10:20
1,13-Jul-15,10:29
16,13-Jul-15,11:33
19,13-Jul-15,15:22
6,13-Jul-15,17:21
9,13-Jul-15,17:58
2,13-Jul-15,17:59
12,13-Jul-15,18:27
5,13-Jul-15,18:27
4,13-Jul-15,18:44
19,14-Jul-15,01:05
16,14-Jul-15,03:01
4,14-Jul-15,03:04
14,14-Jul-15,09:24
6,14-Jul-15,09:31
12,14-Jul-15,09:34
12,14-Jul-15,09:34
5,14-Jul-15,09:50
8,14-Jul-15,09:52
9,14-Jul-15,09:56
2,14-Jul-15,09:57
1,14-Jul-15,11:02
16,14-Jul-15,11:32
11,14-Jul-15,12:28
19,14-Jul-15,15:48
1,14-Jul-15,17:01
6,14-Jul-15,17:21
16,14-Jul-15,18:05
9,14-Jul-15,18:18
8,14-Jul-15,18:19
2,14-Jul-15,18:25
12,14-Jul-15,18:54
5,14-Jul-15,18:59
19,15-Jul-15,00:44
4,15-Jul-15,03:29
16,15-Jul-15,03:47
6,15-Jul-15,09:33
14,15-Jul-15,09:37
9,15-Jul-15,09:50
5,15-Jul-15,09:54
1,15-Jul-15,09:54
8,15-Jul-15,09:54
11,15-Jul-15,10:03
12,15-Jul-15,10:21
13,15-Jul-15,11:23
4,15-Jul-15,11:37
19,15-Jul-15,15:54
6,15-Jul-15,17:14
13,15-Jul-15,17:56
3,15-Jul-15,17:56
8,15-Jul-15,17:59
5,15-Jul-15,17:59
9,15-Jul-15,18:09
1,15-Jul-15,18:18
19,16-Jul-15,01:23
4,16-Jul-15,02:58
3,16-Jul-15,03:00
2,16-Jul-15,09:06
6,16-Jul-15,09:31
14,16-Jul-15,09:39
9,16-Jul-15,09:53
3,16-Jul-15,09:56
5,16-Jul-15,10:04
8,16-Jul-15,10:05
11,16-Jul-15,10:08
5,16-Jul-15,11:21
4,16-Jul-15,11:34
19,16-Jul-15,15:34
6,16-Jul-15,17:13
8,16-Jul-15,18:02
9,16-Jul-15,18:13
3,16-Jul-15,18:15
2,16-Jul-15,18:15
5,16-Jul-15,18:17
5,16-Jul-15,18:17
1,16-Jul-15,18:20
19,17-Jul-15,00:33
4,17-Jul-15,02:56
8,17-Jul-15,09:51
11,17-Jul-15,09:58
3,17-Jul-15,10:36
1,17-Jul-15,10:50
4,17-Jul-15,11:41
13,17-Jul-15,17:54
8,17-Jul-15,18:01
11,17-Jul-15,18:06
3,17-Jul-15,18:15
3,17-Jul-15,18:15
